session_id,candidate_name,event_type,timestamp
S001,Achanta Srinivas Varshith,face_detected,2026-09-15 16:34:27
S001,Achanta Srinivas Varshith,tab_switched,2026-09-15 14:10:46
S001,Achanta Srinivas Varshith,face_absent,2026-09-15 12:41:11
S001,Achanta Srinivas Varshith,question_answered,2026-09-15 02:01:09
S001,Achanta Srinivas Varshith,focus_loss,2026-09-15 12:04:31
S001,Achanta Srinivas Varshith,face_detected,2026-09-15 03:02:38
S001,Achanta Srinivas Varshith,question_answered,2026-09-15 01:54:06
S001,Achanta Srinivas Varshith,face_absent,2026-09-14 23:50:40
S001,Achanta Srinivas Varshith,tab_switched,2026-09-14 17:55:52
S001,Achanta Srinivas Varshith,face_detected,2026-09-15 14:00:01
S002,Achanta Srinivas Varshith,question_answered,2026-09-14 19:50:28
S002,Achanta Srinivas Varshith,question_answered,2026-09-14 23:24:02
S002,Achanta Srinivas Varshith,face_detected,2026-09-15 07:38:47
S002,Achanta Srinivas Varshith,question_answered,2026-09-15 14:26:41
S002,Achanta Srinivas Varshith,question_answered,2026-09-14 23:12:58
S002,Achanta Srinivas Varshith,tab_switched,2026-09-15 11:15:20
S002,Achanta Srinivas Varshith,face_absent,2026-09-15 08:09:37
S002,Achanta Srinivas Varshith,question_answered,2026-09-15 01:44:33
S002,Achanta Srinivas Varshith,question_answered,2026-09-15 01:46:41
S002,Achanta Srinivas Varshith,tab_switched,2026-09-15 14:22:09
S003,Achanta Srinivas Varshith,question_answered,2026-09-15 07:52:08
S003,Achanta Srinivas Varshith,face_absent,2026-09-14 18:08:17
S003,Achanta Srinivas Varshith,tab_switched,2026-09-14 22:11:02
S003,Achanta Srinivas Varshith,focus_loss,2026-09-15 04:24:04
S003,Achanta Srinivas Varshith,focus_loss,2026-09-15 05:25:19
S003,Achanta Srinivas Varshith,tab_switched,2026-09-14 19:25:00
S003,Achanta Srinivas Varshith,focus_loss,2026-09-15 08:12:29
S003,Achanta Srinivas Varshith,face_detected,2026-09-14 21:36:24
